Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
be29f97b-4a08-4092-b6f1-2a0e89739c3a,"2020-06-30, 03:20:57 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacityproject2cloudtrail""}]",,us-east-1,,72.211.254.10
e1d701db-9037-4117-99d9-51245aa14d53,"2020-06-30, 03:20:57 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacityproject2cloudtrail""}]",,us-east-1,,72.211.254.10
4db0f71c-a282-4612-ad17-508fb8eeeabe,"2020-06-30, 03:19:53 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""project2cloudtrail""}]",,us-east-1,InsufficientS3BucketPolicyException,72.211.254.10
4f3d6190-a7ce-45c8-bee2-b3ed823a366a,"2020-06-30, 03:19:53 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""project2cloudtrail""}]",,us-east-1,,72.211.254.10
bd03753d-5f2f-4e56-b066-80a3a8ed95af,"2020-06-30, 03:19:53 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""project2cloudtrail""}]",,us-east-1,,72.211.254.10
fdf44ea1-f9ec-4505-ad55-d75610d82bfe,"2020-06-30, 03:19:29 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""project2cloudtrail""}]",,us-east-1,,72.211.254.10
0897a88e-f055-49cd-8be8-6a01115da1d7,"2020-06-30, 03:19:19 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrailbucket""}]",,us-east-1,BucketAlreadyExists,72.211.254.10
9c60e25d-ad59-4455-b848-c14a9c7d6cf1,"2020-06-30, 03:15:03 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,72.211.254.10
3d41db20-6b04-4511-b1fb-cc45dd816e55,"2020-06-30, 03:14:01 PM",Accountant,ConsoleLogin,,,,us-east-1,,72.211.254.10
0105b9df-c477-47eb-b961-c6fc869f75ae,"2020-06-30, 03:11:36 PM",Admin,GenerateServiceLastAccessedDetails,,,,us-east-1,,72.211.254.10
570ecb72-b17b-490e-aaea-c422af6866dc,"2020-06-30, 03:11:10 PM",Admin,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,72.211.254.10
c85c8f99-ac9e-46af-b9c1-0938ed31445a,"2020-06-30, 03:11:10 PM",Admin,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,72.211.254.10
9a7aeec8-e59d-4afc-b47b-20923f51f3da,"2020-06-30, 03:11:09 PM",Admin,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::855205641508:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA4OHR2PUSMR5QKIQVB""}]",,us-east-1,,72.211.254.10
871074da-1ca2-41b6-a235-f522f0c1d637,"2020-06-30, 03:10:22 PM",Admin,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,72.211.254.10
d61d4837-a258-4aa8-b28c-091e07f5d9d8,"2020-06-30, 03:10:22 PM",Admin,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,72.211.254.10
8c942e3c-de87-4f58-9966-e9d135a72bf3,"2020-06-30, 03:10:21 PM",Admin,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::855205641508:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA4OHR2PUSF26TFDLYB""}]",,us-east-1,,72.211.254.10
580c5770-659d-4f46-b567-de6d812ed77e,"2020-06-30, 03:07:44 PM",Admin,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::855205641508:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA4OHR2PUSKT6NG46GY""}]",,us-east-1,,72.211.254.10
d9acf636-610a-470c-aa1f-5af82bf8de13,"2020-06-30, 03:07:44 PM",Admin,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,72.211.254.10
4046ce99-226b-495a-8ce3-005754d82c2b,"2020-06-30, 03:07:17 PM",Admin,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,72.211.254.10
bdc4e6e1-6054-493b-a7aa-b0f06d8d965a,"2020-06-30, 03:07:17 PM",Admin,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::855205641508:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA4OHR2PUSNIJ5D5A2W""}]",,us-east-1,,72.211.254.10
cea8ce44-36b1-4fcb-8442-d33059a7b511,"2020-06-30, 03:07:17 PM",Admin,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,72.211.254.10
91ee294b-9a69-4001-bc15-a75f674429a6,"2020-06-30, 01:28:26 PM",Admin,UpdateAccountPasswordPolicy,,,,us-east-1,,72.211.254.10
6f4a59f1-ba15-40bf-a902-980ec11f08ed,"2020-06-30, 01:23:13 PM",Admin,ConsoleLogin,,,,us-east-1,,72.211.254.10
59918377-8e9b-487b-8f6b-b67254dae0e5,"2020-06-30, 01:22:09 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Admin""}]",,us-east-1,,72.211.254.10
7e3d11a8-77c5-45f3-92c8-221c020bbd06,"2020-06-30, 01:22:09 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Admin""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Admins""}]",,us-east-1,,72.211.254.10
a4bdef0c-3613-4251-8a08-35d8038e4d42,"2020-06-30, 01:22:08 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA4OHR2PUSADJ5ML7NZ""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Admin""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::855205641508:user/Admin""}]",,us-east-1,,72.211.254.10
450e596e-15cb-4e9f-afea-9c04eb2e7887,"2020-06-30, 01:21:22 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Admins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA4OHR2PUSC4PI7OBUJ""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::855205641508:group/Admins""}]",,us-east-1,,72.211.254.10
a1121362-d745-4efa-b699-0ef2a9bb1f0c,"2020-06-30, 01:21:22 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Admins""}]",,us-east-1,,72.211.254.10
abcc014c-d217-42ca-895a-395e96cc15cb,"2020-06-30, 01:18:15 PM",root,SetIAMAccessPreference,,,,us-east-1,,72.211.254.10
f65a1ab0-b5f5-4140-a25e-ef33218f8eef,"2020-06-30, 01:17:08 PM",root,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-053b260f372763d8a""}]",,us-east-1,,72.211.254.10
45c4ce4c-15f7-4daa-a5e0-841ae501f83f,"2020-06-30, 01:15:40 PM",root,ConsoleLogin,,,,us-east-1,,72.211.254.10
